abortion,economy,education,energy,environment,unemployment
planned parenthood,economy,classroom,gas,renewable,jobs
contraception,recovery,education,energy,environmental,job growth
abortion,recoveries,teachers,oil,pollution,job creation
pro choice,inflation,tuition,coal,pollute,lay off
pro life,stock market,schools,drill,pollutes,laid off
wade,dow,school voucher,drilling,clean air,out of work
reproductive rights,gdp,failing school,,global warming,
,gross domestic product,school choice,,climate change,
,,no child left behind,,widelife,
,,academic,,clean water,
,,,,natural resource,
,,,,sea levels,
,,,,sustainable development ,
